dataset,frame,people_count
set02-occ.vbb,0,8
set02-occ.vbb,1,3
set02-occ.vbb,2,6
set02-occ.vbb,3,5
set02-occ.vbb,4,4
set02-occ.vbb,5,2
set02-occ.vbb,6,4
set02-occ.vbb,7,3
set02-occ.vbb,8,3
set02-occ.vbb,9,3
set02-occ.vbb,10,2
set02-occ.vbb,11,1
set02-occ.vbb,12,3
set02-occ.vbb,13,7
set02-occ.vbb,14,7
set02-occ.vbb,15,6
set02-occ.vbb,16,5
set02-occ.vbb,17,5
set02-occ.vbb,18,7
set02-occ.vbb,19,5
set02-occ.vbb,20,4
set02-occ.vbb,21,4
set02-occ.vbb,22,4
set02-occ.vbb,23,4
set02-occ.vbb,24,4
set02-occ.vbb,25,3
set02-occ.vbb,26,3
set02-occ.vbb,27,4
set02-occ.vbb,28,4
set02-occ.vbb,29,4
set02-occ.vbb,30,8
set02-occ.vbb,31,8
set02-occ.vbb,32,7
set02-occ.vbb,33,6
set02-occ.vbb,34,3
set02-occ.vbb,35,2
set02-occ.vbb,36,2
set02-occ.vbb,37,2
set02-occ.vbb,38,1
set02-occ.vbb,39,1
set02-occ.vbb,40,4
set02-occ.vbb,41,6
set02-occ.vbb,42,4
set02-occ.vbb,43,1
set02-occ.vbb,44,1
set02-occ.vbb,45,1
set02-occ.vbb,46,2
set02-occ.vbb,47,5
set02-occ.vbb,48,3
set02-occ.vbb,49,2
set02-occ.vbb,50,1
set02-occ.vbb,51,2
set02-occ.vbb,52,15
set02-occ.vbb,53,4
set02-occ.vbb,54,6
set02-occ.vbb,55,1
set02-occ.vbb,56,2
set02-occ.vbb,57,2
set02-occ.vbb,58,5
set02-occ.vbb,59,5
set02-occ.vbb,60,5
set02-occ.vbb,61,3
set02-occ.vbb,62,2
set02-occ.vbb,63,2
set02-occ.vbb,64,2
set02-occ.vbb,65,2
set02-occ.vbb,66,4
set02-occ.vbb,67,4
set02-occ.vbb,68,3
set02-occ.vbb,69,2
set02-occ.vbb,70,4
set02-occ.vbb,71,4
set02-occ.vbb,72,3
set02-occ.vbb,73,2
set02-occ.vbb,74,6
set02-occ.vbb,75,4
set02-occ.vbb,76,11
set02-occ.vbb,77,11
set02-occ.vbb,78,7
set02-occ.vbb,79,9
set02-occ.vbb,80,12
set02-occ.vbb,81,13
set02-occ.vbb,82,15
set02-occ.vbb,83,18
set02-occ.vbb,84,22
set02-occ.vbb,85,23
set02-occ.vbb,86,16
set02-occ.vbb,87,15
set02-occ.vbb,88,14
set02-occ.vbb,89,9
set02-occ.vbb,90,12
set02-occ.vbb,91,11
set02-occ.vbb,92,10
set02-occ.vbb,93,10
set02-occ.vbb,94,9
set02-occ.vbb,95,6
set02-occ.vbb,96,7
set02-occ.vbb,97,5
set02-occ.vbb,98,7
set02-occ.vbb,99,3
set02-occ.vbb,100,8
set02-occ.vbb,101,6
set02-occ.vbb,102,5
set02-occ.vbb,103,2
set02-occ.vbb,104,6
set02-occ.vbb,105,6
set02-occ.vbb,106,4
set02-occ.vbb,107,2
set02-occ.vbb,108,2
set02-occ.vbb,109,0
