dataset,frame,people_count
set06-occ.vbb,0,5
set06-occ.vbb,1,5
set06-occ.vbb,2,5
set06-occ.vbb,3,5
set06-occ.vbb,4,5
set06-occ.vbb,5,5
set06-occ.vbb,6,5
set06-occ.vbb,7,5
set06-occ.vbb,8,5
set06-occ.vbb,9,6
set06-occ.vbb,10,6
set06-occ.vbb,11,6
set06-occ.vbb,12,6
set06-occ.vbb,13,6
set06-occ.vbb,14,6
set06-occ.vbb,15,6
set06-occ.vbb,16,6
set06-occ.vbb,17,6
set06-occ.vbb,18,6
set06-occ.vbb,19,6
set06-occ.vbb,20,6
set06-occ.vbb,21,6
set06-occ.vbb,22,6
set06-occ.vbb,23,8
set06-occ.vbb,24,8
set06-occ.vbb,25,16
set06-occ.vbb,26,16
set06-occ.vbb,27,17
set06-occ.vbb,28,17
set06-occ.vbb,29,17
set06-occ.vbb,30,17
set06-occ.vbb,31,17
set06-occ.vbb,32,17
set06-occ.vbb,33,17
set06-occ.vbb,34,17
set06-occ.vbb,35,17
set06-occ.vbb,36,17
set06-occ.vbb,37,17
set06-occ.vbb,38,17
set06-occ.vbb,39,17
set06-occ.vbb,40,17
set06-occ.vbb,41,17
set06-occ.vbb,42,17
set06-occ.vbb,43,17
set06-occ.vbb,44,17
set06-occ.vbb,45,17
set06-occ.vbb,46,17
set06-occ.vbb,47,17
set06-occ.vbb,48,17
set06-occ.vbb,49,17
set06-occ.vbb,50,17
set06-occ.vbb,51,17
set06-occ.vbb,52,17
set06-occ.vbb,53,17
set06-occ.vbb,54,17
set06-occ.vbb,55,17
set06-occ.vbb,56,16
set06-occ.vbb,57,16
set06-occ.vbb,58,16
set06-occ.vbb,59,15
set06-occ.vbb,60,16
set06-occ.vbb,61,15
set06-occ.vbb,62,15
set06-occ.vbb,63,17
set06-occ.vbb,64,17
set06-occ.vbb,65,17
set06-occ.vbb,66,16
set06-occ.vbb,67,16
set06-occ.vbb,68,16
set06-occ.vbb,69,16
set06-occ.vbb,70,16
set06-occ.vbb,71,16
set06-occ.vbb,72,17
set06-occ.vbb,73,17
set06-occ.vbb,74,17
set06-occ.vbb,75,17
set06-occ.vbb,76,16
set06-occ.vbb,77,16
set06-occ.vbb,78,16
set06-occ.vbb,79,16
set06-occ.vbb,80,16
set06-occ.vbb,81,16
set06-occ.vbb,82,16
set06-occ.vbb,83,16
set06-occ.vbb,84,16
set06-occ.vbb,85,17
set06-occ.vbb,86,17
set06-occ.vbb,87,17
set06-occ.vbb,88,17
set06-occ.vbb,89,17
set06-occ.vbb,90,17
set06-occ.vbb,91,17
set06-occ.vbb,92,17
set06-occ.vbb,93,17
set06-occ.vbb,94,17
set06-occ.vbb,95,17
set06-occ.vbb,96,17
set06-occ.vbb,97,17
set06-occ.vbb,98,17
set06-occ.vbb,99,17
set06-occ.vbb,100,17
set06-occ.vbb,101,17
set06-occ.vbb,102,17
set06-occ.vbb,103,17
set06-occ.vbb,104,17
set06-occ.vbb,105,17
set06-occ.vbb,106,17
set06-occ.vbb,107,17
set06-occ.vbb,108,17
set06-occ.vbb,109,17
set06-occ.vbb,110,15
set06-occ.vbb,111,15
set06-occ.vbb,112,15
set06-occ.vbb,113,15
set06-occ.vbb,114,17
set06-occ.vbb,115,14
set06-occ.vbb,116,16
set06-occ.vbb,117,17
set06-occ.vbb,118,17
set06-occ.vbb,119,17
set06-occ.vbb,120,17
set06-occ.vbb,121,16
set06-occ.vbb,122,17
set06-occ.vbb,123,13
set06-occ.vbb,124,17
set06-occ.vbb,125,17
set06-occ.vbb,126,16
set06-occ.vbb,127,16
set06-occ.vbb,128,16
set06-occ.vbb,129,16
set06-occ.vbb,130,16
set06-occ.vbb,131,16
set06-occ.vbb,132,16
set06-occ.vbb,133,17
set06-occ.vbb,134,16
set06-occ.vbb,135,17
set06-occ.vbb,136,16
set06-occ.vbb,137,16
set06-occ.vbb,138,16
set06-occ.vbb,139,16
set06-occ.vbb,140,16
set06-occ.vbb,141,16
set06-occ.vbb,142,16
set06-occ.vbb,143,16
set06-occ.vbb,144,16
set06-occ.vbb,145,16
set06-occ.vbb,146,17
set06-occ.vbb,147,16
set06-occ.vbb,148,16
set06-occ.vbb,149,16
set06-occ.vbb,150,17
set06-occ.vbb,151,16
set06-occ.vbb,152,15
set06-occ.vbb,153,16
set06-occ.vbb,154,16
set06-occ.vbb,155,17
