dataset,frame,people_count
set04-occ.vbb,0,10
set04-occ.vbb,1,12
set04-occ.vbb,2,15
set04-occ.vbb,3,10
set04-occ.vbb,4,16
set04-occ.vbb,5,12
set04-occ.vbb,6,12
set04-occ.vbb,7,12
set04-occ.vbb,8,13
set04-occ.vbb,9,13
set04-occ.vbb,10,13
set04-occ.vbb,11,13
set04-occ.vbb,12,13
set04-occ.vbb,13,12
set04-occ.vbb,14,11
set04-occ.vbb,15,12
set04-occ.vbb,16,10
set04-occ.vbb,17,19
set04-occ.vbb,18,15
set04-occ.vbb,19,14
set04-occ.vbb,20,14
set04-occ.vbb,21,13
set04-occ.vbb,22,13
set04-occ.vbb,23,12
set04-occ.vbb,24,11
set04-occ.vbb,25,12
set04-occ.vbb,26,11
set04-occ.vbb,27,13
set04-occ.vbb,28,10
set04-occ.vbb,29,11
set04-occ.vbb,30,10
set04-occ.vbb,31,9
set04-occ.vbb,32,10
set04-occ.vbb,33,10
set04-occ.vbb,34,10
set04-occ.vbb,35,8
set04-occ.vbb,36,8
set04-occ.vbb,37,8
set04-occ.vbb,38,6
set04-occ.vbb,39,7
set04-occ.vbb,40,7
set04-occ.vbb,41,7
set04-occ.vbb,42,8
set04-occ.vbb,43,6
set04-occ.vbb,44,7
set04-occ.vbb,45,8
set04-occ.vbb,46,6
