dataset,frame,people_count
set08-occ.vbb,0,4
set08-occ.vbb,1,4
set08-occ.vbb,2,4
set08-occ.vbb,3,7
set08-occ.vbb,4,6
set08-occ.vbb,5,7
set08-occ.vbb,6,7
set08-occ.vbb,7,6
set08-occ.vbb,8,6
set08-occ.vbb,9,6
set08-occ.vbb,10,6
set08-occ.vbb,11,3
set08-occ.vbb,12,3
set08-occ.vbb,13,3
set08-occ.vbb,14,3
set08-occ.vbb,15,3
set08-occ.vbb,16,3
set08-occ.vbb,17,4
set08-occ.vbb,18,4
set08-occ.vbb,19,3
set08-occ.vbb,20,3
set08-occ.vbb,21,3
set08-occ.vbb,22,4
set08-occ.vbb,23,4
set08-occ.vbb,24,2
set08-occ.vbb,25,2
set08-occ.vbb,26,11
set08-occ.vbb,27,11
set08-occ.vbb,28,11
set08-occ.vbb,29,12
set08-occ.vbb,30,7
set08-occ.vbb,31,7
set08-occ.vbb,32,9
set08-occ.vbb,33,10
set08-occ.vbb,34,9
set08-occ.vbb,35,10
set08-occ.vbb,36,5
set08-occ.vbb,37,5
set08-occ.vbb,38,3
set08-occ.vbb,39,5
set08-occ.vbb,40,5
set08-occ.vbb,41,5
set08-occ.vbb,42,7
set08-occ.vbb,43,3
set08-occ.vbb,44,3
set08-occ.vbb,45,3
set08-occ.vbb,46,7
set08-occ.vbb,47,6
set08-occ.vbb,48,6
set08-occ.vbb,49,2
set08-occ.vbb,50,2
set08-occ.vbb,51,2
set08-occ.vbb,52,4
set08-occ.vbb,53,3
set08-occ.vbb,54,6
set08-occ.vbb,55,6
set08-occ.vbb,56,11
set08-occ.vbb,57,6
set08-occ.vbb,58,6
set08-occ.vbb,59,6
set08-occ.vbb,60,6
set08-occ.vbb,61,6
set08-occ.vbb,62,3
set08-occ.vbb,63,3
set08-occ.vbb,64,4
set08-occ.vbb,65,5
set08-occ.vbb,66,3
set08-occ.vbb,67,4
set08-occ.vbb,68,2
set08-occ.vbb,69,2
set08-occ.vbb,70,2
set08-occ.vbb,71,2
set08-occ.vbb,72,3
set08-occ.vbb,73,3
set08-occ.vbb,74,3
set08-occ.vbb,75,7
set08-occ.vbb,76,6
set08-occ.vbb,77,7
set08-occ.vbb,78,7
set08-occ.vbb,79,8
set08-occ.vbb,80,3
set08-occ.vbb,81,6
set08-occ.vbb,82,13
set08-occ.vbb,83,12
set08-occ.vbb,84,10
set08-occ.vbb,85,8
