dataset,frame,people_count
set00-occ.vbb,0,6
set00-occ.vbb,1,7
set00-occ.vbb,2,12
set00-occ.vbb,3,13
set00-occ.vbb,4,12
set00-occ.vbb,5,8
set00-occ.vbb,6,8
set00-occ.vbb,7,5
set00-occ.vbb,8,4
set00-occ.vbb,9,4
set00-occ.vbb,10,5
set00-occ.vbb,11,4
set00-occ.vbb,12,4
set00-occ.vbb,13,4
set00-occ.vbb,14,2
set00-occ.vbb,15,7
set00-occ.vbb,16,8
set00-occ.vbb,17,5
set00-occ.vbb,18,4
set00-occ.vbb,19,4
set00-occ.vbb,20,3
set00-occ.vbb,21,3
set00-occ.vbb,22,5
set00-occ.vbb,23,6
set00-occ.vbb,24,2
set00-occ.vbb,25,4
set00-occ.vbb,26,4
set00-occ.vbb,27,3
set00-occ.vbb,28,2
set00-occ.vbb,29,3
set00-occ.vbb,30,3
set00-occ.vbb,31,1
set00-occ.vbb,32,2
set00-occ.vbb,33,5
set00-occ.vbb,34,4
set00-occ.vbb,35,3
set00-occ.vbb,36,7
set00-occ.vbb,37,5
set00-occ.vbb,38,6
set00-occ.vbb,39,7
set00-occ.vbb,40,9
set00-occ.vbb,41,4
set00-occ.vbb,42,2
set00-occ.vbb,43,6
set00-occ.vbb,44,6
set00-occ.vbb,45,7
set00-occ.vbb,46,3
set00-occ.vbb,47,4
set00-occ.vbb,48,5
set00-occ.vbb,49,4
set00-occ.vbb,50,5
set00-occ.vbb,51,1
set00-occ.vbb,52,1
set00-occ.vbb,53,1
set00-occ.vbb,54,2
set00-occ.vbb,55,8
set00-occ.vbb,56,2
set00-occ.vbb,57,8
set00-occ.vbb,58,3
set00-occ.vbb,59,7
set00-occ.vbb,60,7
set00-occ.vbb,61,2
set00-occ.vbb,62,2
set00-occ.vbb,63,2
set00-occ.vbb,64,2
set00-occ.vbb,65,3
set00-occ.vbb,66,1
set00-occ.vbb,67,1
set00-occ.vbb,68,1
set00-occ.vbb,69,3
set00-occ.vbb,70,4
set00-occ.vbb,71,5
set00-occ.vbb,72,3
set00-occ.vbb,73,4
set00-occ.vbb,74,4
set00-occ.vbb,75,3
set00-occ.vbb,76,3
set00-occ.vbb,77,1
set00-occ.vbb,78,1
set00-occ.vbb,79,9
set00-occ.vbb,80,13
set00-occ.vbb,81,14
set00-occ.vbb,82,15
set00-occ.vbb,83,15
set00-occ.vbb,84,20
set00-occ.vbb,85,16
set00-occ.vbb,86,20
set00-occ.vbb,87,20
set00-occ.vbb,88,20
set00-occ.vbb,89,22
set00-occ.vbb,90,20
set00-occ.vbb,91,20
set00-occ.vbb,92,19
set00-occ.vbb,93,19
set00-occ.vbb,94,13
set00-occ.vbb,95,10
set00-occ.vbb,96,4
set00-occ.vbb,97,2
set00-occ.vbb,98,2
set00-occ.vbb,99,1
set00-occ.vbb,100,5
set00-occ.vbb,101,1
set00-occ.vbb,102,1
set00-occ.vbb,103,2
set00-occ.vbb,104,2
