dataset,frame,people_count
set05-occ.vbb,0,6
set05-occ.vbb,1,5
set05-occ.vbb,2,7
set05-occ.vbb,3,9
set05-occ.vbb,4,8
set05-occ.vbb,5,8
set05-occ.vbb,6,9
set05-occ.vbb,7,9
set05-occ.vbb,8,10
set05-occ.vbb,9,9
set05-occ.vbb,10,11
set05-occ.vbb,11,9
set05-occ.vbb,12,7
set05-occ.vbb,13,11
set05-occ.vbb,14,12
set05-occ.vbb,15,11
set05-occ.vbb,16,11
set05-occ.vbb,17,12
set05-occ.vbb,18,13
set05-occ.vbb,19,9
set05-occ.vbb,20,7
set05-occ.vbb,21,7
set05-occ.vbb,22,7
set05-occ.vbb,23,8
set05-occ.vbb,24,7
set05-occ.vbb,25,7
set05-occ.vbb,26,5
set05-occ.vbb,27,8
set05-occ.vbb,28,14
set05-occ.vbb,29,13
set05-occ.vbb,30,9
set05-occ.vbb,31,10
set05-occ.vbb,32,9
set05-occ.vbb,33,9
set05-occ.vbb,34,8
set05-occ.vbb,35,6
